RATE_MINUTELY;$/min;грн/хв;
RATE_TRAFBASED;$/MB;грн/МБ;
RATE_DAYLY;$/day;грн/день;
RATE_MONTHLY;$/month;грн/місяць;
CHANGE_RATE;Change rate;Змінити тариф;
ADD_RATE;Add Rate;Додати Тариф;
CLIENT_PAGE;Client page;Сторінка клієнта;
STATUS;Status;Статус;
STATUS_BLOCKED_BY_LIMIT;Limit;Ліміт;
STATUS_BLOCKED_BY_MONEY;Out of money;Нема грошей;
STATUS_ENABLE;OK;ОК;
ADD_NORMAL;Normal;Поповнення;
ADD_DEBT;Debt;Борг;
ADD_PAYDEBT;Pay debt;Погашення боргу;
ADD_CLIENT;Add Client;Додати Клієнта;
ADD_PROVIDER;Add Provider;Додати Провайдера;
ADDLINK;Add;Поповнення;
LOGIN;Login;Логін;
TRAFIC;Trafic;Трафік;
ADDED;Added;Внесено;
ACCOUNT;Account;Балланс;
DEBT;Debt;Борг;
ADD;Add;Добавити;
DATE;Date;Дата;
CLIENT;Client;Клієнт;
SUM;Sum;Сума;
TYPE;Peyment Type;Тип платежу;
ADDS_CAPTION;Payments List;Поповнення;
ADD_CAPTION;Pay;Добавити;
SUMMARY_CAPTION;Summary;Звіт;
ADMIN_CONSOLE;Administrative Interface;Адміністративна Консоль;
CLIENT_CONSOLE;Client Interface;Клієнтська Консоль;
ADDS_LINK;Payments;Поповнення;
MSG_LINK;Messages;Повідомлення;
CLIENT_LINK;Clients;Клієнти;
PROVIDER_LINK;Providers;Провайдери;
TRAF_LINK;Rates;Тарифи;
LOG_LINK;Log;Log;
MSG_ADD;Edit Message;Змінити повідомлення;
MSG_DETAILS;Message Details;Деталі Повідомлення;
MSG_SENDTO;Send to;Кому;
MSG_TEXT;Message Text;Текст;
MSG_CAPTION;Message List;Повідомлення;
MESSAGE;Message;Повідомлення;
PROVIDER_CAPTION;Providers List;Провайдери;
NAME;Name;Назва;
IP;IP;IP;
ID;ID;ID;
IFACE;Interface;Інтерфейс;
RATE;Rate;Тариф;
EDIT_PROVIDER;Edit Provider;Редагувати данні провайдера;
DETAILS_PROVIDER;Provider Details;Деталі Провайдера;
EDIT_RATE;Edit Rate;Редагувати Тариф;
DETAILS_RATE;Rate Details;Деталі Тарифа;
PRICE;Price;Ціна;
CHANNEL;Channel;Канал;
RATE_CAPTION;Rates List;Тарифи;
CLIENT_CAPTION;Clients List;Клієнти;
DETAILS_CLIENT;Client Details;Деталі Клієнта;
PASSWORD;Password;Пароль;
ADDRESSES;Addresses;Адреси;
TIME_RANGE;Time Range;Період;
PAYMENT_HELP1;10: Add $10 to client's account;Додати&nbsp 10: Поповнення рахунку на 10 гривень;
PAYMENT_HELP2;-10: Give credit for $10;Додати -10: Видати борг на 10 гривень;
PAYMENT_HELP3;+10: Return credit for $10;Додати +10: Повернення боргу на 10 гривень;
PARAMETERS;Parameters;Параметри;
TRAF_LIMIT;Trafic Limit;Обмеження трафіку;
CLIENT_ACCOUNT;Account ($);Баланс (гривень);
CLIENT_DEBT;Debt ($);Борг (гривень);
DOWN_TODAY;Downloaded today;Закачано сьогодні;
DOWN_TOMONTH;Downloaded this month;Закачано за місяць;
DOWNLOAD;Downloaded;Закачано;
LIMIT;Limit;Ліміт;
SET_LIMIT;Set Limit;Встановити;
MESSAGES;Messages;Оголошення;
CLIENT_IP;IP Address;IP Адреса;
PARAMETERS_LINK;Parameters;Параметри;
CREDITS_LINK;Payment History;Історія Платежів;
DEBITS_LINK;Debit History;Історія Витрат;
SETTINGS_LINK;Settings;Налаштування;
CREDITS_CAPTION;Payment History;Історія Платежів;
DEBITS_CAPTION;Debit History (last 30 days);Історія Витрат (останні 30 днів);
TRAFLIMIT;Trafic Limit;Ліміт Трафіка;
EDIT_CLIENT;Edit Client;Редагувати Данні Клієнта;
EDIT_ADMIN;Edit Admin Record;Редагувати Данні Адміністратора;
DETAILS_ADMIN;Admin Details;Адміністратор;
ADMIN_NAME;Login;Логін;
ADMIN_PASSWD;Password;Пароль;
ADMIN_IP;Allowed IP;Дозволена IP адреса;
RATE_TYPE;Rate Type;Тип Тарифу;
SPENT;Spent;Витрачено;
PROVIDER;Provider;Провайдер;
PROFIT;Profit;Прибуток;
ADDRESS_CAPTION;Addresses;Адреси;
MAC;MAC;MAC;
INCORRECT_IP;Incorrect IP address;Невірна IP адреса;
INCORRECT_MAC;Incorrect MAC address;Невірна MAC адреса;
DUPLICATE_IP;IP address already in use;Данна IP адреса вже зайнята;
DUPLICATE_MAC;MAC address already in use;Данна MAC адреса вже зайнята;
DUPLICATE_IFACE;Interface already in use;Данний інтерфейс вже зайнятий;
RATE_ERROR1;Following clients/providers use the rate; Наступні клієнти/провайдери використовують цей тариф;
RATE_ERROR2;Delete them first; Видаліть спочатку їх;
RATE_ALLWAYS_EXIST;The rate is used as default and can not be deleted;Цей тариф є дефолтовим і неможе бути видалений;
REDIRECT;You will be redirected automatically after 5 seconds;Ви будете перенаправлені на попередню сторінку через 5 секунд;
MSG_TO;Reciever;Одержувач;
MSG_FROM;Sender;Відправляч;
MSG_ALL;Everybody;Для всіх;
MSG_ADMIN;Admin only;Адміністратор;
DEVICE_LINK;Devices;Пристрої;
DEVICES_CAPTION;Devices;Пристрої;
DEVICE_EDIT;Edit Device;a;
DEVICE_DETAILS;Device Details;a;
CR;cr;cr;
MIN;m;min;
ALERT_CAPTION;Alert;Alert;
SUPER;Super User;SU;
YES;Yes;Yes;
NO;No;No;
